entity_name,region,value,gender
Afghanistan,Asia,21532540,male
Afghanistan,Asia,21114952,female
Afghanistan,Asia,42647492,total
Albania,Europe,1175059,male
Albania,Europe,1202069,female
Albania,Europe,2377128,total
Algeria,Africa,23874384,male
Algeria,Africa,22939924,female
Algeria,Africa,46814308,total
American Samoa,Oceania,23602,male
American Samoa,Oceania,23163,female
American Samoa,Oceania,46765,total
Andorra,Europe,41884,male
Andorra,Europe,40054,female
Andorra,Europe,81938,total
Angola,Africa,18747466,male
Angola,Africa,19138383,female
Angola,Africa,37885849,total
Antigua and Barbuda,Americas,44633,male
Antigua and Barbuda,Americas,49139,female
Antigua and Barbuda,Americas,93772,total
Argentina,Americas,22680713,male
Argentina,Americas,23015446,female
Argentina,Americas,45696159,total
Armenia,Asia,1408477,male
Armenia,Asia,1625023,female
Armenia,Asia,3033500,total
Aruba,Americas,51015,male
Aruba,Americas,56980,female
Aruba,Americas,107995,total
Australia,Oceania,13494616,male
Australia,Oceania,13702196,female
Australia,Oceania,27196812,total
Austria,Europe,4518761,male
Austria,Europe,4659221,female
Austria,Europe,9177982,total
Azerbaijan,Asia,5001264,male
Azerbaijan,Asia,5201566,female
Azerbaijan,Asia,10202830,total
"Bahamas, The",Americas,191597,male
"Bahamas, The",Americas,209686,female
"Bahamas, The",Americas,401283,total
Bahrain,Asia,985627,male
Bahrain,Asia,603043,female
Bahrain,Asia,1588670,total
Bangladesh,Asia,85343656,male
Bangladesh,Asia,88218708,female
Bangladesh,Asia,173562364,total
Barbados,Americas,135423,male
Barbados,Americas,147044,female
Barbados,Americas,282467,total
Belarus,Europe,4255811,male
Belarus,Europe,4876818,female
Belarus,Europe,9132629,total
Belgium,Europe,5847551,male
Belgium,Europe,6011059,female
Belgium,Europe,11858610,total
Belize,Americas,210442,male
Belize,Americas,206630,female
Belize,Americas,417072,total
Benin,Africa,7252565,male
Benin,Africa,7210159,female
Benin,Africa,14462724,total
Bermuda,Americas,31619,male
Bermuda,Americas,33017,female
Bermuda,Americas,64636,total
Bhutan,Asia,423047,male
Bhutan,Asia,368477,female
Bhutan,Asia,791524,total
Bolivia,Americas,6219215,male
Bolivia,Americas,6194100,female
Bolivia,Americas,12413315,total
Bosnia and Herzegovina,Europe,1505794,male
Bosnia and Herzegovina,Europe,1658459,female
Bosnia and Herzegovina,Europe,3164253,total
Botswana,Africa,1256565,male
Botswana,Africa,1264574,female
Botswana,Africa,2521139,total
Brazil,Americas,104295118,male
Brazil,Americas,107703455,female
Brazil,Americas,211998573,total
British Virgin Islands,Americas,18692,male
British Virgin Islands,Americas,20779,female
British Virgin Islands,Americas,39471,total
Brunei Darussalam,Asia,245699,male
Brunei Darussalam,Asia,217022,female
Brunei Darussalam,Asia,462721,total
Bulgaria,Europe,3117026,male
Bulgaria,Europe,3324395,female
Bulgaria,Europe,6441421,total
Burkina Faso,Africa,11730086,male
Burkina Faso,Africa,11818695,female
Burkina Faso,Africa,23548781,total
Burundi,Africa,6978594,male
Burundi,Africa,7069192,female
Burundi,Africa,14047786,total
Cabo Verde,Africa,266947,male
Cabo Verde,Africa,257930,female
Cabo Verde,Africa,524877,total
Cambodia,Asia,8642987,male
Cambodia,Asia,8995814,female
Cambodia,Asia,17638801,total
Cameroon,Africa,14514341,male
Cameroon,Africa,14609403,female
Cameroon,Africa,29123744,total
Canada,Americas,20502744,male
Canada,Americas,20785855,female
Canada,Americas,41288599,total
Cayman Islands,Americas,37375,male
Cayman Islands,Americas,37082,female
Cayman Islands,Americas,74457,total
Central African Republic,Africa,2557962,male
Central African Republic,Africa,2772728,female
Central African Republic,Africa,5330690,total
Chad,Africa,10181358,male
Chad,Africa,10117765,female
Chad,Africa,20299123,total
Chile,Americas,9823449,male
Chile,Americas,9941322,female
Chile,Americas,19764771,total
China,Asia,717753173,male
China,Asia,691221827,female
China,Asia,1408975000,total
Colombia,Americas,26095271,male
Colombia,Americas,26791092,female
Colombia,Americas,52886363,total
Comoros,Africa,435815,male
Comoros,Africa,430813,female
Comoros,Africa,866628,total
"Congo, Dem. Rep.",Africa,54216832,male
"Congo, Dem. Rep.",Africa,55059433,female
"Congo, Dem. Rep.",Africa,109276265,total
"Congo, Rep.",Africa,3166095,male
"Congo, Rep.",Africa,3166866,female
"Congo, Rep.",Africa,6332961,total
Costa Rica,Americas,2534728,male
Costa Rica,Americas,2595182,female
Costa Rica,Americas,5129910,total
Cote d'Ivoire,Africa,16246681,male
Cote d'Ivoire,Africa,15687549,female
Cote d'Ivoire,Africa,31934230,total
Croatia,Europe,1864999,male
Croatia,Europe,2001201,female
Croatia,Europe,3866200,total
Cuba,Americas,5416880,male
Cuba,Americas,5562903,female
Cuba,Americas,10979783,total
Curacao,Americas,74232,male
Curacao,Americas,81735,female
Curacao,Americas,155967,total
Cyprus,Asia,684248,male
Cyprus,Asia,674034,female
Cyprus,Asia,1358282,total
Czechia,Europe,5377468,male
Czechia,Europe,5527560,female
Czechia,Europe,10905028,total
Denmark,Europe,2970888,male
Denmark,Europe,3006104,female
Denmark,Europe,5976992,total
Djibouti,Africa,579313,male
Djibouti,Africa,589409,female
Djibouti,Africa,1168722,total
Dominica,Americas,33102,male
Dominica,Americas,33103,female
Dominica,Americas,66205,total
Dominican Republic,Americas,5681194,male
Dominican Republic,Americas,5746363,female
Dominican Republic,Americas,11427557,total
Ecuador,Americas,9041130,male
Ecuador,Americas,9094348,female
Ecuador,Americas,18135478,total
"Egypt, Arab Rep.",Africa,58840145,male
"Egypt, Arab Rep.",Africa,57698113,female
"Egypt, Arab Rep.",Africa,116538258,total
El Salvador,Americas,3010733,male
El Salvador,Americas,3327460,female
El Salvador,Americas,6338193,total
Equatorial Guinea,Africa,997748,male
Equatorial Guinea,Africa,894768,female
Equatorial Guinea,Africa,1892516,total
Eritrea,Africa,1745353,male
Eritrea,Africa,1790250,female
Eritrea,Africa,3535603,total
Estonia,Europe,652502,male
Estonia,Europe,719839,female
Estonia,Europe,1372341,total
Eswatini,Africa,610191,male
Eswatini,Africa,632631,female
Eswatini,Africa,1242822,total
Ethiopia,Africa,66167290,male
Ethiopia,Africa,65892477,female
Ethiopia,Africa,132059767,total
Faroe Islands,Europe,28253,male
Faroe Islands,Europe,26428,female
Faroe Islands,Europe,54681,total
Fiji,Oceania,460973,male
